"arrayNumber";"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;12;48;0;0;6
1;12;49;1;2;2
1;12;50;0;0;1
1;13;1;0;2;4
1;13;2;2;6;22
1;13;3;2;6;8
1;13;4;1;6;6
1;13;5;1;8;2
1;13;6;0;3;3
1;13;7;1;1;0
1;13;8;0;1;0
1;13;9;0;0;0
1;13;10;2;2;1
1;13;11;1;8;1
1;13;12;0;7;0
1;13;13;0;3;1
1;13;14;2;9;7
1;13;15;1;2;1
1;13;16;0;0;2
1;13;17;0;11;1
1;13;18;1;1;0
1;13;19;0;9;1
1;13;20;0;1;0
1;13;21;0;2;5
1;13;22;1;1;3
1;13;23;0;8;6
1;13;24;1;2;0
1;13;25;0;8;1
1;13;26;0;0;2
1;13;27;1;1;2
1;13;28;0;1;1
1;13;29;0;2;0
1;13;30;1;6;3
1;13;31;1;3;2
1;13;32;0;0;5
1;13;33;0;0;7
1;13;34;0;4;0
1;13;35;2;4;7
1;13;36;1;0;0
1;13;37;0;4;0
1;13;38;2;7;0
1;13;39;0;3;7
1;13;40;0;30;11
1;13;41;0;1;0
1;13;42;2;0;1
1;13;43;6;3;27
1;13;44;2;2;1
1;13;45;1;1;0
1;13;46;0;0;0
1;13;47;1;8;2
1;13;48;0;1;4
1;13;49;1;0;2
1;13;50;1;1;0
1;14;1;1;2;5
1;14;2;1;16;1
1;14;3;2;3;4
1;14;4;0;1;5
1;14;5;2;12;4
1;14;6;3;4;9
1;14;7;3;0;7
1;14;8;0;0;3
1;14;9;1;5;1
1;14;10;0;3;3
1;14;11;1;2;6
1;14;12;0;6;10
1;14;13;0;0;5
1;14;14;1;4;3
1;14;15;0;8;5
1;14;16;1;1;2
1;14;17;0;1;2
1;14;18;0;1;3
1;14;19;0;6;0
1;14;20;0;2;1
1;14;21;1;2;2
1;14;22;2;7;3
1;14;23;0;4;7
1;14;24;1;4;7
1;14;25;0;1;0
1;14;26;0;0;1
1;14;27;0;0;5
1;14;28;1;0;0
1;14;29;0;4;2
1;14;30;0;0;3
1;14;31;1;0;2
1;14;32;0;7;0
1;14;33;0;1;0
1;14;34;0;3;1
1;14;35;1;0;0
1;14;36;2;7;3
1;14;37;0;1;0
1;14;38;1;1;0
1;14;39;0;2;1
1;14;40;0;0;1
1;14;41;1;0;1
1;14;42;1;0;1
1;14;43;0;0;0
1;14;44;2;0;0
1;14;45;1;0;0
1;14;46;0;0;1
1;14;47;0;2;0
1;14;48;0;2;1
1;14;49;2;1;4
1;14;50;1;1;1
1;15;1;0;1;6
1;15;2;2;1;4
1;15;3;3;7;4
1;15;4;3;1;7
1;15;5;0;0;1
1;15;6;0;1;1
1;15;7;1;1;2
1;15;8;0;2;10
1;15;9;1;7;5
1;15;10;1;12;9
1;15;11;0;1;24
1;15;12;0;1;9
1;15;13;2;1;0
1;15;14;1;10;4
1;15;15;0;21;1
1;15;16;0;3;3
1;15;17;1;0;0
1;15;18;0;0;1
1;15;19;0;1;7
1;15;20;0;0;2
1;15;21;1;0;2
1;15;22;1;0;0
1;15;23;4;0;0
1;15;24;0;1;2
1;15;25;2;0;0
1;15;26;4;0;9
1;15;27;0;1;0
1;15;28;0;2;2
1;15;29;0;2;1
1;15;30;0;8;0
1;15;31;0;0;9
1;15;32;0;7;0
1;15;33;0;2;1
1;15;34;0;1;0
1;15;35;0;0;0
1;15;36;1;0;1
1;15;37;1;1;1
1;15;38;1;3;4
1;15;39;0;0;0
1;15;40;0;0;0
1;15;41;0;1;1
1;15;42;0;1;4
1;15;43;0;0;0
1;15;44;0;4;1
1;15;45;1;0;1
1;15;46;1;2;1
1;15;47;0;2;1
1;15;48;1;2;1
1;15;49;0;0;1
1;15;50;0;1;3
1;16;1;1;16;5
1;16;2;0;5;0
1;16;3;0;0;2
1;16;4;2;3;5
1;16;5;0;1;1
1;16;6;0;1;9
1;16;7;0;13;0
1;16;8;1;5;9
1;16;9;0;5;1
1;16;10;3;0;0
