"arrayNumber","simulation","bout","bee","similarityIndex"
1,3,40,2,0.230769230769231
1,3,41,1,0
1,3,41,2,0.461538461538462
1,3,42,1,0
1,3,42,2,0.457142857142857
1,3,43,1,0.6
1,3,43,2,0.442857142857143
1,3,44,1,0.6
1,3,44,2,0.75
1,3,45,1,0
1,3,45,2,0.611111111111111
1,3,46,1,0.5
1,3,46,2,0.333333333333333
1,3,47,1,1
1,3,47,2,0
1,3,48,1,0.5
1,3,48,2,0
1,3,49,1,0.5
1,3,49,2,0
1,4,1,1,0
1,4,1,2,0.210526315789474
1,4,2,1,0.272727272727273
1,4,2,2,0.3
1,4,3,1,0.5
1,4,3,2,0
1,4,4,1,0.756410256410256
1,4,4,2,0
1,4,5,1,0.82051282051282
1,4,5,2,0.53125
1,4,6,1,0.455882352941176
1,4,6,2,0.3125
1,4,7,1,0
1,4,7,2,0
1,4,8,1,0.363636363636364
1,4,8,2,0.266666666666667
1,4,9,1,0.25
1,4,9,2,0.15
1,4,10,1,0.458333333333333
1,4,10,2,0.540816326530612
1,4,11,1,0.615384615384615
1,4,11,2,0.551020408163265
1,4,12,1,0.315789473684211
1,4,12,2,0.222222222222222
1,4,13,1,0
1,4,13,2,0.408163265306122
1,4,14,1,0
1,4,14,2,0.387755102040816
1,4,15,1,0
1,4,15,2,0.136363636363636
1,4,16,1,0
1,4,16,2,0.272727272727273
1,4,17,1,0
1,4,17,2,0
1,4,18,1,0.5
1,4,18,2,0.25
1,4,19,1,0.222222222222222
1,4,19,2,0
1,4,20,1,0.5
1,4,20,2,0.428571428571429
1,4,21,1,0.44
1,4,21,2,1
1,4,22,1,0.428571428571429
1,4,22,2,0.428571428571429
1,4,23,1,0.619047619047619
1,4,23,2,0.272727272727273
1,4,24,1,0.461538461538462
1,4,24,2,0
1,4,25,1,0
1,4,25,2,0
1,4,26,1,0.541666666666667
1,4,26,2,0
1,4,27,1,0.676470588235294
1,4,27,2,0.666666666666667
1,4,28,1,0.558823529411765
1,4,28,2,0.4
1,4,29,1,0.8
1,4,29,2,0.366666666666667
1,4,30,1,0.470588235294118
1,4,30,2,0
1,4,31,1,0.382352941176471
1,4,31,2,0
1,4,32,1,0.4
1,4,32,2,0.230769230769231
1,4,33,1,0.15
1,4,33,2,0.477777777777778
1,4,34,1,0
1,4,34,2,0.488888888888889
1,4,35,1,0.272727272727273
1,4,35,2,0.375
1,4,36,1,0.272727272727273
1,4,36,2,0
1,4,37,1,0.461538461538462
1,4,37,2,0.529411764705882
1,4,38,1,0
1,4,38,2,0.441176470588235
1,4,39,1,1
1,4,39,2,0.6
1,4,40,1,0.6
1,4,40,2,0.566666666666667
1,4,41,1,0.157894736842105
