"arrayNumber";"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;31;20;0;0;0
1;31;21;1;0;0
1;31;22;1;0;2
1;31;23;0;4;7
1;31;24;0;5;2
1;31;25;2;3;6
1;31;26;0;0;7
1;31;27;1;0;1
1;31;28;1;0;1
1;31;29;2;0;0
1;31;30;0;4;5
1;32;1;1;13;4
1;32;2;2;0;0
1;32;3;0;11;2
1;32;4;0;0;0
1;32;5;0;4;0
1;32;6;0;2;7
1;32;7;0;3;3
1;32;8;0;2;9
1;32;9;0;0;3
1;32;10;0;1;8
1;32;11;1;0;2
1;32;12;3;11;2
1;32;13;0;0;6
1;32;14;0;0;0
1;32;15;1;1;1
1;32;16;0;6;3
1;32;17;0;2;3
1;32;18;0;0;9
1;32;19;1;8;4
1;32;20;1;0;4
1;32;21;0;4;1
1;32;22;2;1;1
1;32;23;0;7;1
1;32;24;0;10;2
1;32;25;0;1;9
1;32;26;2;7;2
1;32;27;0;0;1
1;32;28;0;0;11
1;32;29;1;0;6
1;32;30;0;2;8
1;33;1;0;3;2
1;33;2;2;5;8
1;33;3;2;0;11
1;33;4;0;0;2
1;33;5;1;1;7
1;33;6;0;1;0
1;33;7;1;0;1
1;33;8;4;0;9
1;33;9;0;5;1
1;33;10;0;0;0
1;33;11;2;1;0
1;33;12;0;1;3
1;33;13;0;6;0
1;33;14;0;0;1
1;33;15;1;4;0
1;33;16;1;5;5
1;33;17;1;0;11
1;33;18;1;1;0
1;33;19;0;4;7
1;33;20;0;0;11
1;33;21;3;4;1
1;33;22;0;5;0
1;33;23;1;0;3
1;33;24;2;1;8
1;33;25;0;5;0
1;33;26;0;1;3
1;33;27;0;10;2
1;33;28;0;1;1
1;33;29;0;2;1
1;33;30;0;0;1
1;34;1;1;0;0
1;34;2;0;2;1
1;34;3;1;0;1
1;34;4;2;2;2
1;34;5;1;11;0
1;34;6;2;11;1
1;34;7;2;3;3
1;34;8;2;0;11
1;34;9;0;0;6
1;34;10;0;6;3
1;34;11;0;4;1
1;34;12;1;2;8
1;34;13;0;0;0
1;34;14;1;6;1
1;34;15;1;1;9
1;34;16;0;11;1
1;34;17;4;10;1
1;34;18;0;0;4
1;34;19;0;12;1
1;34;20;3;3;3
1;34;21;0;0;2
1;34;22;0;2;0
1;34;23;0;0;4
1;34;24;0;0;2
1;34;25;4;0;4
1;34;26;0;1;0
1;34;27;1;0;2
1;34;28;0;0;0
1;34;29;0;1;4
1;34;30;0;5;1
1;35;1;1;6;1
1;35;2;0;15;6
1;35;3;1;7;2
1;35;4;0;15;2
1;35;5;0;3;1
1;35;6;0;11;2
1;35;7;1;0;5
1;35;8;2;0;2
1;35;9;0;0;5
1;35;10;0;1;12
1;35;11;0;8;4
1;35;12;1;1;0
1;35;13;1;1;1
1;35;14;1;1;6
1;35;15;2;4;0
1;35;16;0;1;1
1;35;17;0;2;3
1;35;18;0;0;11
1;35;19;1;7;1
1;35;20;3;4;1
1;35;21;0;3;1
1;35;22;0;3;0
1;35;23;0;0;0
1;35;24;1;2;6
1;35;25;0;5;9
1;35;26;2;2;5
1;35;27;0;14;2
1;35;28;0;0;8
1;35;29;1;2;9
1;35;30;0;0;2
1;36;1;0;1;0
1;36;2;1;1;3
1;36;3;0;15;2
1;36;4;1;6;2
1;36;5;3;1;2
1;36;6;3;0;0
1;36;7;0;0;0
1;36;8;3;1;0
1;36;9;0;0;1
1;36;10;0;13;0
1;36;11;1;3;3
1;36;12;0;2;0
1;36;13;2;0;9
1;36;14;1;8;0
1;36;15;1;4;2
1;36;16;0;13;10
1;36;17;1;1;7
1;36;18;1;4;0
1;36;19;0;1;0
1;36;20;0;0;10
1;36;21;0;2;0
1;36;22;4;5;5
1;36;23;0;0;16
1;36;24;0;0;0
1;36;25;1;0;3
1;36;26;1;0;2
1;36;27;1;2;5
1;36;28;0;3;4
1;36;29;0;0;4
1;36;30;0;1;2
1;37;1;0;0;4
1;37;2;1;1;3
1;37;3;1;2;4
1;37;4;1;2;3
1;37;5;0;3;0
1;37;6;0;12;3
1;37;7;0;17;7
1;37;8;0;8;1
1;37;9;0;5;12
1;37;10;0;6;0
1;37;11;1;7;13
1;37;12;0;2;6
1;37;13;0;1;13
1;37;14;3;1;1
1;37;15;1;0;2
1;37;16;0;5;1
1;37;17;0;2;1
1;37;18;1;0;6
1;37;19;0;0;0
1;37;20;1;3;2
1;37;21;1;0;0
1;37;22;1;4;0
1;37;23;1;0;4
1;37;24;1;7;2
1;37;25;1;0;3
1;37;26;1;2;0
1;37;27;1;0;3
1;37;28;1;1;5
1;37;29;0;0;9
1;37;30;1;0;10
1;38;1;0;0;4
1;38;2;0;13;1
1;38;3;0;12;0
1;38;4;1;0;2
1;38;5;0;0;0
1;38;6;1;0;2
1;38;7;0;18;5
1;38;8;1;3;1
1;38;9;0;2;2
1;38;10;0;1;0
1;38;11;0;4;1
1;38;12;1;6;0
1;38;13;0;13;1
