"simulation";"bout";"interference";"exploitation1";"exploitation2"
18;3;10;11;3
18;4;5;0;0
18;5;1;4;0
18;6;0;1;2
18;7;0;2;5
18;8;3;3;0
18;9;0;1;8
18;10;6;4;1
18;11;0;2;6
18;12;1;1;20
18;13;0;1;2
18;14;0;1;1
18;15;0;3;4
18;16;4;0;2
18;17;2;30;3
18;18;3;12;6
18;19;0;3;11
18;20;0;0;1
18;21;2;10;1
18;22;0;2;1
18;23;3;6;4
18;24;0;1;0
18;25;0;1;0
18;26;1;7;3
18;27;0;6;0
18;28;0;1;8
18;29;0;6;0
18;30;0;4;1
18;31;1;1;1
18;32;1;1;5
18;33;0;0;2
18;34;0;0;0
18;35;0;5;0
18;36;1;2;1
18;37;2;33;0
18;38;2;0;0
18;39;0;9;0
18;40;0;0;3
18;41;0;0;4
18;42;0;2;0
18;43;2;0;0
18;44;0;0;0
18;45;0;1;56
18;46;0;3;1
18;47;2;1;0
18;48;0;0;0
18;49;0;5;0
18;50;0;0;3
19;1;1;14;3
19;2;2;0;1
19;3;0;3;38
19;4;10;8;2
19;5;0;0;2
19;6;0;3;10
19;7;0;3;3
19;8;0;0;0
19;9;0;4;19
19;10;0;8;3
19;11;0;12;2
19;12;1;2;1
19;13;0;54;11
19;14;3;36;2
19;15;2;0;0
19;16;8;15;35
19;17;0;7;0
19;18;0;11;0
19;19;0;0;5
19;20;1;1;2
19;21;3;9;14
19;22;0;1;56
19;23;0;0;2
19;24;0;0;1
19;25;2;1;1
19;26;0;1;8
19;27;0;0;1
19;28;0;1;2
19;29;1;1;2
19;30;1;0;1
19;31;1;5;10
19;32;0;0;2
19;33;0;3;0
19;34;0;0;18
19;35;0;0;4
19;36;0;0;4
19;37;1;0;0
19;38;0;1;0
19;39;1;1;0
19;40;2;0;0
19;41;0;1;4
19;42;1;0;0
19;43;0;1;0
19;44;1;1;1
19;45;0;0;1
19;46;0;0;0
19;47;1;13;0
19;48;0;6;4
19;49;1;2;0
19;50;0;1;1
20;1;0;9;2
20;2;1;4;4
20;3;0;4;2
20;4;0;13;1
20;5;2;4;3
20;6;0;4;2
20;7;1;2;0
20;8;0;13;0
20;9;0;4;11
20;10;4;23;10
20;11;0;13;0
20;12;0;2;4
20;13;1;60;0
20;14;2;3;3
20;15;2;4;17
20;16;0;3;1
20;17;1;4;1
20;18;0;3;1
20;19;1;3;8
20;20;1;1;3
20;21;0;0;2
20;22;0;7;0
20;23;0;1;4
20;24;0;0;0
20;25;0;1;1
20;26;7;23;53
20;27;0;0;1
20;28;1;0;1
20;29;0;1;2
20;30;0;2;3
20;31;1;17;2
20;32;0;13;0
20;33;0;1;1
20;34;2;2;4
20;35;0;61;4
20;36;0;0;6
20;37;0;1;1
20;38;0;2;1
20;39;4;3;9
20;40;1;0;2
20;41;0;5;4
20;42;1;0;0
20;43;1;1;33
20;44;0;0;0
20;45;3;1;13
20;46;0;4;0
20;47;2;2;5
20;48;0;3;0
20;49;1;6;4
20;50;1;1;5
21;1;0;7;1
21;2;3;6;0
21;3;3;5;5
21;4;2;3;1
21;5;0;4;12
21;6;1;1;32
21;7;2;12;0
21;8;0;0;16
21;9;3;4;8
21;10;0;6;60
21;11;1;0;12
21;12;0;2;9
21;13;0;3;4
21;14;0;0;1
21;15;4;7;2
21;16;3;0;1
21;17;1;6;17
21;18;1;4;0
21;19;0;0;7
21;20;1;3;0
21;21;3;1;0
21;22;0;0;7
21;23;0;4;0
21;24;2;0;0
21;25;0;1;9
21;26;2;5;2
21;27;0;0;0
21;28;2;0;1
21;29;0;1;6
21;30;1;1;25
21;31;0;5;0
21;32;0;0;3
21;33;0;1;4
21;34;0;61;6
21;35;0;1;1
21;36;0;9;0
21;37;0;0;1
21;38;3;47;12
21;39;1;16;0
21;40;0;3;4
21;41;0;0;2
21;42;0;2;5
21;43;0;2;1
21;44;1;1;4
21;45;0;0;1
21;46;0;2;3
21;47;0;0;4
21;48;0;3;1
21;49;0;1;42
21;50;0;3;1
22;1;11;0;12
22;2;0;4;0
22;3;0;1;13
22;4;1;15;3
22;5;1;10;2
22;6;3;4;6
22;7;0;4;5
22;8;1;3;0
22;9;2;6;12
22;10;0;6;4
22;11;1;1;3
22;12;2;0;15
22;13;2;4;2
22;14;0;6;0
22;15;0;4;2
22;16;0;4;0
22;17;0;58;0
22;18;0;2;2
22;19;1;0;1
22;20;8;38;62
22;21;0;1;5
22;22;0;3;0
22;23;0;0;0
22;24;1;4;0
22;25;0;2;0
22;26;1;4;57
22;27;0;0;0
22;28;2;1;1
22;29;0;2;2
22;30;0;2;4
22;31;1;2;0
22;32;0;8;1
22;33;0;2;1
22;34;3;3;4
22;35;4;59;48
22;36;0;3;2
22;37;0;2;10
22;38;1;0;0
22;39;0;1;1
22;40;3;0;0
22;41;0;0;3
22;42;0;2;0
22;43;0;1;1
22;44;0;0;4
22;45;0;0;4
22;46;1;3;5
22;47;0;4;0
22;48;0;2;0
22;49;2;1;6
22;50;2;0;0
23;1;4;11;9
23;2;0;3;0
23;3;0;3;62
23;4;0;27;0
23;5;6;0;2
23;6;2;0;5
23;7;3;8;12
23;8;2;6;0
23;9;0;1;5
23;10;2;13;1
23;11;0;0;3
23;12;1;17;0
23;13;0;6;6
23;14;0;3;6
23;15;0;1;4
23;16;3;0;0
23;17;2;2;13
23;18;0;0;6
23;19;1;3;11
23;20;2;1;3
23;21;0;5;2
23;22;0;2;3
23;23;0;1;21
