simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,absolute_quality
10,1,0,,4,0.02460087
10,1,1,,1,0.00154545
10,2,0,,5,0.01625541
10,2,1,,4,0.00453557
10,3,0,,5,0.01625541
10,3,1,,4,0.00525549
10,4,0,,5,0.01680226
10,4,1,,5,0.01561693
10,5,0,,5,0.0203817
10,5,1,,5,0.01368506
10,6,0,,5,0.0203817
10,6,1,,5,0.01561693
10,7,0,,5,0.0203817
10,7,1,,5,0.01012627
10,8,0,,5,0.0203817
10,8,1,,4,0.01280799
10,9,0,,5,0.0203817
10,9,1,,5,0.01561693
10,10,0,,5,0.0203817
10,10,1,,5,0.01378091
10,11,0,,5,0.0203817
10,11,1,,5,0.00802715
10,12,0,,5,0.0203817
10,12,1,,4,0.01280799
10,13,0,,5,0.0203817
10,13,1,,5,0.01488096
10,14,0,,5,0.0203817
10,14,1,,5,0.01488096
10,15,0,,5,0.0203817
10,15,1,,4,0.01280799
10,16,0,,5,0.0203817
10,16,1,,5,0.01601764
10,17,0,,5,0.0203817
10,17,1,,5,0.01601764
10,18,0,,5,0.0203817
10,18,1,,5,0.01601764
10,19,0,,5,0.0203817
10,19,1,,5,0.01601764
10,20,0,,5,0.0203817
10,20,1,,5,0.01601764
10,21,0,,5,0.0203817
10,21,1,,5,0.01601764
10,22,0,,5,0.0203817
10,22,1,,5,0.01601764
10,23,0,,5,0.0203817
10,23,1,,5,0.01601764
10,24,0,,5,0.0203817
10,24,1,,5,0.01601764
10,25,0,,5,0.0203817
10,25,1,,5,0.01601764
10,26,0,,5,0.0203817
10,26,1,,5,0.01601764
10,27,0,,5,0.0203817
10,27,1,,5,0.01601764
10,28,0,,5,0.0203817
10,28,1,,5,0.01601764
10,29,0,,5,0.0203817
10,29,1,,5,0.01601764
11,0,0,,4,0.00970453
11,0,1,,4,0.00478388
11,1,0,,2,0.00530471
11,1,1,,5,0.02419547
11,2,0,,4,0.01202513
11,2,1,,3,0.00256221
11,3,0,,3,0.00832204
11,3,1,,5,0.02419547
11,4,0,,3,0.00672067
11,4,1,,4,0.01331414
11,5,0,,4,0.00525907
11,5,1,,4,0.01331414
11,6,0,,5,0.01403109
11,6,1,,3,0.0074892
11,7,0,,5,0.01403109
11,7,1,,3,0.0172049
11,8,0,,5,0.01403109
11,8,1,,5,0.01591763
11,9,0,,5,0.01403109
11,9,1,,5,0.01740364
11,10,0,,5,0.01403109
11,10,1,,5,0.02314734
11,11,0,,5,0.01403109
11,11,1,,5,0.02314734
11,12,0,,5,0.01403109
11,12,1,,5,0.02314734
11,13,0,,5,0.01403109
11,13,1,,5,0.02314734
11,14,0,,5,0.01403109
11,14,1,,5,0.02314734
11,15,0,,5,0.01403109
11,15,1,,5,0.02314734
11,16,0,,5,0.01403109
11,16,1,,5,0.02314734
11,17,0,,5,0.01403109
11,17,1,,5,0.02314734
11,18,0,,5,0.01403109
11,18,1,,5,0.02314734
11,19,0,,5,0.01403109
11,19,1,,5,0.02314734
11,20,0,,5,0.01403109
