"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","similarityIndex"
"R10-P1","noRouteCompare",1.5,0.75,1,4,28,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,29,1,1
"R10-P1","noRouteCompare",1.5,0.75,1,4,29,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,1,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,1,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,2,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,2,2,0.321428571428571
"R10-P1","noRouteCompare",1.5,0.75,1,5,3,1,0.3
"R10-P1","noRouteCompare",1.5,0.75,1,5,3,2,0.428571428571429
"R10-P1","noRouteCompare",1.5,0.75,1,5,4,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,4,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,5,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,5,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,6,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,6,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,7,1,0.272727272727273
"R10-P1","noRouteCompare",1.5,0.75,1,5,7,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,8,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,8,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,9,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,9,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,10,1,0.214285714285714
"R10-P1","noRouteCompare",1.5,0.75,1,5,10,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,11,1,0.157894736842105
"R10-P1","noRouteCompare",1.5,0.75,1,5,11,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,12,1,0.315789473684211
"R10-P1","noRouteCompare",1.5,0.75,1,5,12,2,0.454545454545455
"R10-P1","noRouteCompare",1.5,0.75,1,5,13,1,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,5,13,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,14,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,14,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,15,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,15,2,0.461538461538462
"R10-P1","noRouteCompare",1.5,0.75,1,5,16,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,16,2,0.444444444444444
"R10-P1","noRouteCompare",1.5,0.75,1,5,17,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,17,2,0.333333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,5,18,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,18,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,19,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,19,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,20,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,20,2,0.375
"R10-P1","noRouteCompare",1.5,0.75,1,5,21,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,21,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,22,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,22,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,23,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,23,2,0.1875
"R10-P1","noRouteCompare",1.5,0.75,1,5,24,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,24,2,0.40625
"R10-P1","noRouteCompare",1.5,0.75,1,5,25,1,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,5,25,2,0.611111111111111
"R10-P1","noRouteCompare",1.5,0.75,1,5,26,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,26,2,0.75
"R10-P1","noRouteCompare",1.5,0.75,1,5,27,1,0.363636363636364
"R10-P1","noRouteCompare",1.5,0.75,1,5,27,2,0.5625
"R10-P1","noRouteCompare",1.5,0.75,1,5,28,1,0.363636363636364
"R10-P1","noRouteCompare",1.5,0.75,1,5,28,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,29,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,5,29,2,0.461538461538462
"R10-P1","noRouteCompare",1.5,0.75,1,6,1,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,1,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,2,1,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,6,2,2,0.230769230769231
"R10-P1","noRouteCompare",1.5,0.75,1,6,3,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,3,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,4,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,4,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,5,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,5,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,6,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,6,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,7,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,7,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,8,1,0.40625
"R10-P1","noRouteCompare",1.5,0.75,1,6,8,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,9,1,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,6,9,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,10,1,0.1875
"R10-P1","noRouteCompare",1.5,0.75,1,6,10,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,11,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,11,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,12,1,0.6
"R10-P1","noRouteCompare",1.5,0.75,1,6,12,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,13,1,0.363636363636364
"R10-P1","noRouteCompare",1.5,0.75,1,6,13,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,14,1,0.230769230769231
"R10-P1","noRouteCompare",1.5,0.75,1,6,14,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,15,1,0.230769230769231
"R10-P1","noRouteCompare",1.5,0.75,1,6,15,2,1
"R10-P1","noRouteCompare",1.5,0.75,1,6,16,1,0.375
"R10-P1","noRouteCompare",1.5,0.75,1,6,16,2,0.3125
"R10-P1","noRouteCompare",1.5,0.75,1,6,17,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,17,2,0.3125
"R10-P1","noRouteCompare",1.5,0.75,1,6,18,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,18,2,0.375
"R10-P1","noRouteCompare",1.5,0.75,1,6,19,1,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,6,19,2,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,6,20,1,0.444444444444444
"R10-P1","noRouteCompare",1.5,0.75,1,6,20,2,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,6,21,1,0.388888888888889
"R10-P1","noRouteCompare",1.5,0.75,1,6,21,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,22,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,22,2,0.423076923076923
"R10-P1","noRouteCompare",1.5,0.75,1,6,23,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,23,2,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,6,24,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,24,2,0.45
"R10-P1","noRouteCompare",1.5,0.75,1,6,25,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,25,2,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,6,26,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,26,2,0.708333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,6,27,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,27,2,0.458333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,6,28,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,28,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,29,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,6,29,2,0.6
"R10-P1","noRouteCompare",1.5,0.75,1,7,1,1,0.15
"R10-P1","noRouteCompare",1.5,0.75,1,7,1,2,0.363636363636364
"R10-P1","noRouteCompare",1.5,0.75,1,7,2,1,0.275
"R10-P1","noRouteCompare",1.5,0.75,1,7,2,2,0.363636363636364
"R10-P1","noRouteCompare",1.5,0.75,1,7,3,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,3,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,4,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,4,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,5,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,5,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,6,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,6,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,7,1,0.75
"R10-P1","noRouteCompare",1.5,0.75,1,7,7,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,8,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,8,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,9,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,9,2,0.2
"R10-P1","noRouteCompare",1.5,0.75,1,7,10,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,10,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,11,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,11,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,12,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,12,2,0.214285714285714
"R10-P1","noRouteCompare",1.5,0.75,1,7,13,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,13,2,0.214285714285714
"R10-P1","noRouteCompare",1.5,0.75,1,7,14,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,14,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,15,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,15,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,16,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,16,2,0.333333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,7,17,1,0
