"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","H2","Q","Qnorm"
"R10-P1","noRouteCompare",1.5,0.75,1,8,4,1,0.23935198569284,0.2265625,0.527272727272727
"R10-P1","noRouteCompare",1.5,0.75,1,8,5,1,0,0.375,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,8,6,1,0,0.1875,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,8,7,1,0.296081910965865,0.247933884297521,0.625
"R10-P1","noRouteCompare",1.5,0.75,1,8,8,1,0.372789450424941,0.268595041322314,0.764705882352941
"R10-P1","noRouteCompare",1.5,0.75,1,8,9,1,0,0.16,0.333333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,8,10,1,0,0.204081632653061,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,8,11,1,0,0.1875,0.4
"R10-P1","noRouteCompare",1.5,0.75,1,8,12,1,0,0.314049586776859,0.633333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,8,13,1,0.134637042011607,0.172839506172839,0.388888888888889
"R10-P1","noRouteCompare",1.5,0.75,1,8,14,1,0.0998935490250567,0.126984126984127,0.411764705882353
"R10-P1","noRouteCompare",1.5,0.75,1,8,15,1,1.946,0.408163265306122,1
"R10-P1","noRouteCompare",1.5,0.75,1,8,16,1,0,0.24,0.571428571428571
"R10-P1","noRouteCompare",1.5,0.75,1,8,17,1,0.529592087818705,0.328125,0.7
"R10-P1","noRouteCompare",1.5,0.75,1,8,18,1,0.366840218325606,0.24,0.75
"R10-P1","noRouteCompare",1.5,0.75,1,8,19,1,0.373420332992648,0.26,0.619047619047619
"R10-P1","noRouteCompare",1.5,0.75,1,8,20,1,0,0.24,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,8,21,1,0,0.172839506172839,0.35
"R10-P1","noRouteCompare",1.5,0.75,1,8,22,1,0.228443826320529,0.285714285714286,0.583333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,8,23,1,0,0.29585798816568,0.625
"R10-P1","noRouteCompare",1.5,0.75,1,8,24,1,0.177622660637882,0.25,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,8,25,1,0.333333333333333,0.297520661157025,0.75
"R10-P1","noRouteCompare",1.5,0.75,1,8,26,1,0,0.189349112426036,0.444444444444444
"R10-P1","noRouteCompare",1.5,0.75,1,8,27,1,0.0435347440875989,0.0888888888888889,0.2
"R10-P1","noRouteCompare",1.5,0.75,1,8,28,1,0,0.4,0.833333333333334
"R10-P1","noRouteCompare",1.5,0.75,1,8,29,1,0.500000000000001,0.4,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,8,30,1,0.333333333333334,0.3,0.6
"R10-P1","noRouteCompare",1.5,0.75,1,9,1,1,0.0754887502163468,0.25,0.533333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,9,2,1,0,0.296296296296296,0.666666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,9,3,1,0.308485375196273,0.27810650887574,0.55952380952381
"R10-P1","noRouteCompare",1.5,0.75,1,9,4,1,0.5,0.316326530612245,0.688888888888889
