"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","Q1","Q2","groupQuality"
"R10-P1","noRouteCompare",1.5,0.75,1,5,26,1,0.02062778,0.01013623,0.642171484230236
"R10-P1","noRouteCompare",1.5,0.75,1,5,27,1,0.01612492,0.00473162,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,5,28,1,0.00931848,0.0092599,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,5,29,1,0.01604929,0.00261928,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,5,30,1,0.01071234,0.0073532,0.372873765036911
"R10-P1","noRouteCompare",1.5,0.75,1,6,1,1,0.00635074,0.0060227,0.248582510024608
"R10-P1","noRouteCompare",1.5,0.75,1,6,2,1,0.01503155,0.00365056,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,6,3,1,0.01702584,0.00476419,0.455734601711781
"R10-P1","noRouteCompare",1.5,0.75,1,6,4,1,0.00522766,0.0215652,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,6,5,1,0.01954348,0.01148362,0.642171484230236
"R10-P1","noRouteCompare",1.5,0.75,1,6,6,1,0.00923862,0.00896145,0.372873765036911
"R10-P1","noRouteCompare",1.5,0.75,1,6,7,1,0.01640489,0.00278829,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,6,8,1,0.01713301,0.00338614,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,6,9,1,0.00817285,0.0053027,0.269297719193325
"R10-P1","noRouteCompare",1.5,0.75,1,6,10,1,0.00938045,0.00784139,0.352158555868194
"R10-P1","noRouteCompare",1.5,0.75,1,6,11,1,0.01336044,0.01004721,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,6,12,1,0.00501616,0.02610403,0.642171484230236
"R10-P1","noRouteCompare",1.5,0.75,1,6,13,1,0.00851785,0.0103479,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,6,14,1,0.02562573,0.00144104,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,6,15,1,0.01045262,0.02041927,0.642171484230236
"R10-P1","noRouteCompare",1.5,0.75,1,6,16,1,0.01307254,0.01306834,0.53859543838665
"R10-P1","noRouteCompare",1.5,0.75,1,6,17,1,0.01579262,0.00897304,0.517880229217933
"R10-P1","noRouteCompare",1.5,0.75,1,6,18,1,0.00176919,0.02561257,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,6,19,1,0.00812053,0.01612611,0.497165020049215
"R10-P1","noRouteCompare",1.5,0.75,1,6,20,1,0.00473469,0.0327114,0.76646273924254
"R10-P1","noRouteCompare",1.5,0.75,1,6,21,1,0.00840355,0.01820352,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,6,22,1,0.0082207,0.01253394,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,6,23,1,0.01349942,0.01904911,0.683601902567671
"R10-P1","noRouteCompare",1.5,0.75,1,6,24,1,0.01140384,0.00735094,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,6,25,1,0.01607755,0.01146003,0.580025856724084
"R10-P1","noRouteCompare",1.5,0.75,1,6,26,1,0.00708261,0.01904911,0.53859543838665
"R10-P1","noRouteCompare",1.5,0.75,1,6,27,1,0.01686731,0.00821753,0.517880229217933
"R10-P1","noRouteCompare",1.5,0.75,1,6,28,1,0.01549509,0.01284897,0.580025856724084
"R10-P1","noRouteCompare",1.5,0.75,1,6,29,1,0.00522766,0.02561257,0.642171484230236
"R10-P1","noRouteCompare",1.5,0.75,1,6,30,1,0.01354195,0.0327114,0.952899621760996
"R10-P1","noRouteCompare",1.5,0.75,1,7,1,1,0.00501048,0.0159014,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,7,2,1,0.00257489,0.01078205,0.269297719193325
"R10-P1","noRouteCompare",1.5,0.75,1,7,3,1,0.00981624,0.01358765,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,7,4,1,0.00957233,0.0178384,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,7,5,1,0.00921422,0.00761217,0.352158555868194
"R10-P1","noRouteCompare",1.5,0.75,1,7,6,1,0.00475067,0.01442467,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,7,7,1,0.00818916,0.01818328,0.53859543838665
"R10-P1","noRouteCompare",1.5,0.75,1,7,8,1,0.00436332,0.01422991,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,7,9,1,0.00706619,0.00761546,0.31072813753076
"R10-P1","noRouteCompare",1.5,0.75,1,7,10,1,0.0105409,0.00467179,0.31072813753076
"R10-P1","noRouteCompare",1.5,0.75,1,7,11,1,0.01390399,0.01594132,0.621456275061519
