"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","H2","Q","Qnorm"
"R-P","noRouteCompare",1.5,0.75,1,6,22,1,0.228443826320529,0.260355029585799,0.55
"R-P","noRouteCompare",1.5,0.75,1,6,23,1,0,0.0384615384615385,0.0769230769230769
"R-P","noRouteCompare",1.5,0.75,1,6,24,1,0.211596214948469,0.193905817174515,0.5
"R-P","noRouteCompare",1.5,0.75,1,6,25,1,0,0.3,0.6
"R-P","noRouteCompare",1.5,0.75,1,6,26,1,0.503605312133115,0.2944,0.638888888888889
"R-P","noRouteCompare",1.5,0.75,1,6,27,1,0.183541235365346,0.181069958847737,0.388235294117647
"R-P","noRouteCompare",1.5,0.75,1,6,28,1,0.201162294783338,0.181122448979592,0.379679144385027
"R-P","noRouteCompare",1.5,0.75,1,6,29,1,0.193681545006943,0.18,0.428571428571428
"R-P","noRouteCompare",1.5,0.75,1,6,30,1,0,0.126984126984127,0.285714285714286
"R-P","noRouteCompare",1.5,0.75,1,7,1,1,0.202947755831837,0.194444444444444,0.466666666666667
"R-P","noRouteCompare",1.5,0.75,1,7,2,1,0,0.32,0.666666666666666
"R-P","noRouteCompare",1.5,0.75,1,7,3,1,0,0.198347107438017,0.5
"R-P","noRouteCompare",1.5,0.75,1,7,4,1,0.141205498349032,0.1312,0.325396825396825
"R-P","noRouteCompare",1.5,0.75,1,7,5,1,0,0.326530612244898,0.8
"R-P","noRouteCompare",1.5,0.75,1,7,6,1,0,0.132963988919668,0.4
"R-P","noRouteCompare",1.5,0.75,1,7,7,1,1,0.260355029585799,1
"R-P","noRouteCompare",1.5,0.75,1,7,8,1,1.946,0.408163265306122,1
"R-P","noRouteCompare",1.5,0.75,1,7,9,1,0.529592087818705,0.254847645429363,0.657142857142857
"R-P","noRouteCompare",1.5,0.75,1,7,10,1,0.225911530342159,0.199546485260771,0.55
"R-P","noRouteCompare",1.5,0.75,1,7,11,1,0.34488950635791,0.2432,0.527777777777778
"R-P","noRouteCompare",1.5,0.75,1,7,12,1,0,0.247933884297521,0.5
"R-P","noRouteCompare",1.5,0.75,1,7,13,1,0,0.136054421768707,0.375
"R-P","noRouteCompare",1.5,0.75,1,7,14,1,0,0.222222222222222,0.5
"R-P","noRouteCompare",1.5,0.75,1,7,15,1,0.515803742979389,0.296296296296296,0.623376623376623
"R-P","noRouteCompare",1.5,0.75,1,7,16,1,1.946,0.408163265306122,1
"R-P","noRouteCompare",1.5,0.75,1,7,17,1,1.386,0.5,1
"R-P","noRouteCompare",1.5,0.75,1,7,18,1,0,0.4,0.8
"R-P","noRouteCompare",1.5,0.75,1,7,19,1,0.156802637393765,0.15916955017301,0.383333333333333
"R-P","noRouteCompare",1.5,0.75,1,7,20,1,0,0.326530612244898,0.8
"R-P","noRouteCompare",1.5,0.75,1,7,21,1,0.124291122433546,0.137174211248285,0.328947368421053
"R-P","noRouteCompare",1.5,0.75,1,7,22,1,0,0.28125,0.6
"R-P","noRouteCompare",1.5,0.75,1,7,23,1,0.8,0.413223140495868,0.833333333333333
"R-P","noRouteCompare",1.5,0.75,1,7,24,1,0.199999999999999,0.266666666666667,0.6
"R-P","noRouteCompare",1.5,0.75,1,7,25,1,0.25,0.306122448979592,0.666666666666667
"R-P","noRouteCompare",1.5,0.75,1,7,26,1,1.946,0.408163265306122,1
"R-P","noRouteCompare",1.5,0.75,1,7,27,1,1.792,0.5,1
"R-P","noRouteCompare",1.5,0.75,1,7,28,1,1,0.32,1
"R-P","noRouteCompare",1.5,0.75,1,7,29,1,2.079,0.46875,1
"R-P","noRouteCompare",1.5,0.75,1,7,30,1,0.500000000000001,0.355029585798817,0.75
"R-P","noRouteCompare",1.5,0.75,1,8,1,1,0.296081910965866,0.319444444444444,0.657142857142857
"R-P","noRouteCompare",1.5,0.75,1,8,2,1,1,0.444444444444445,1
"R-P","noRouteCompare",1.5,0.75,1,8,3,1,0.420619835714304,0.3,0.714285714285714
"R-P","noRouteCompare",1.5,0.75,1,8,4,1,0.146954653486742,0.173010380622837,0.378787878787879
"R-P","noRouteCompare",1.5,0.75,1,8,5,1,0,0.247933884297521,0.625
"R-P","noRouteCompare",1.5,0.75,1,8,6,1,0,0.24,0.5
"R-P","noRouteCompare",1.5,0.75,1,8,7,1,0.0554260457016203,0.112,0.243055555555556
"R-P","noRouteCompare",1.5,0.75,1,8,8,1,0.177855045948609,0.222222222222222,0.5
"R-P","noRouteCompare",1.5,0.75,1,8,9,1,0.0793801642856946,0.221453287197232,0.615384615384615
"R-P","noRouteCompare",1.5,0.75,1,8,10,1,0,0.201183431952663,0.404761904761905
"R-P","noRouteCompare",1.5,0.75,1,8,11,1,0,0.330578512396694,0.714285714285714
"R-P","noRouteCompare",1.5,0.75,1,8,12,1,0,0.171875,0.349206349206349
"R-P","noRouteCompare",1.5,0.75,1,8,13,1,0.150831557998102,0.185,0.373737373737374
"R-P","noRouteCompare",1.5,0.75,1,8,14,1,0.6,0.357142857142857,0.714285714285714
"R-P","noRouteCompare",1.5,0.75,1,8,15,1,0.166666666666667,0.183673469387755,0.375
"R-P","noRouteCompare",1.5,0.75,1,8,16,1,1.386,0.5,1
"R-P","noRouteCompare",1.5,0.75,1,8,17,1,0.28535930656239,0.176,0.55
"R-P","noRouteCompare",1.5,0.75,1,8,18,1,0.31360527478753,0.25,0.5
"R-P","noRouteCompare",1.5,0.75,1,8,19,1,0.150999094973839,0.148148148148148,0.369230769230769
"R-P","noRouteCompare",1.5,0.75,1,8,20,1,0,0.0826446280991736,0.166666666666667
"R-P","noRouteCompare",1.5,0.75,1,8,21,1,0.219002130402278,0.215,0.434343434343434
"R-P","noRouteCompare",1.5,0.75,1,8,22,1,0.111754267102404,0.234375,0.769230769230769
"R-P","noRouteCompare",1.5,0.75,1,8,23,1,0.210309917857152,0.189349112426036,0.444444444444444
"R-P","noRouteCompare",1.5,0.75,1,8,24,1,2.197,0.493827160493827,1
"R-P","noRouteCompare",1.5,0.75,1,8,25,1,0,0.264462809917355,0.571428571428571
"R-P","noRouteCompare",1.5,0.75,1,8,26,1,0.281182604020451,0.159122085048011,0.552380952380952
"R-P","noRouteCompare",1.5,0.75,1,8,27,1,0,0.311111111111111,0.714285714285714
"R-P","noRouteCompare",1.5,0.75,1,8,28,1,0.205017222035456,0.166351606805293,0.431372549019608
"R-P","noRouteCompare",1.5,0.75,1,8,29,1,0,0.125,0.333333333333333
"R-P","noRouteCompare",1.5,0.75,1,8,30,1,0.177622660637882,0.185185185185185,0.38961038961039
"R-P","noRouteCompare",1.5,0.75,1,9,1,1,0,0.3125,0.833333333333333
"R-P","noRouteCompare",1.5,0.75,1,9,2,1,0,0.246913580246914,0.714285714285714
"R-P","noRouteCompare",1.5,0.75,1,9,3,1,0,0.246913580246914,0.714285714285714
"R-P","noRouteCompare",1.5,0.75,1,9,4,1,0,0.166204986149585,0.428571428571429
"R-P","noRouteCompare",1.5,0.75,1,9,5,1,0,0.115,0.232323232323232
"R-P","noRouteCompare",1.5,0.75,1,9,6,1,0,0.296296296296296,0.666666666666667
"R-P","noRouteCompare",1.5,0.75,1,9,7,1,0,0.110726643598616,0.307692307692308
"R-P","noRouteCompare",1.5,0.75,1,9,8,1,0.185961963767419,0.266666666666667,0.555555555555555
"R-P","noRouteCompare",1.5,0.75,1,9,9,1,0,0.222222222222222,0.5
"R-P","noRouteCompare",1.5,0.75,1,9,10,1,0.500000000000001,0.204081632653061,0.833333333333333
"R-P","noRouteCompare",1.5,0.75,1,9,11,1,0.108445116420809,0.11386593204775,0.227941176470588
"R-P","noRouteCompare",1.5,0.75,1,9,12,1,0,0.166204986149584,0.384615384615385
