"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","Q1","Q2","groupQuality"
"R-P","noRouteCompare",1.5,0.75,1,7,17,1,0.00727534,0.01315756,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,7,18,1,0.02210393,0.00393091,0.392623154557917
"R-P","noRouteCompare",1.5,0.75,1,7,19,1,0.00336102,0.02683674,0.453026716797596
"R-P","noRouteCompare",1.5,0.75,1,7,20,1,0.01133464,0.00520056,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,7,21,1,0.03225416,0.00293173,0.528531169597196
"R-P","noRouteCompare",1.5,0.75,1,7,22,1,0.00824172,0.00669639,0.226513358398798
"R-P","noRouteCompare",1.5,0.75,1,7,23,1,0.00981934,0.01008844,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,7,24,1,0.01406924,0.01548685,0.453026716797596
"R-P","noRouteCompare",1.5,0.75,1,7,25,1,0.01127358,0.02757625,0.588934731836875
"R-P","noRouteCompare",1.5,0.75,1,7,26,1,0.00681409,0.02757625,0.513430279037276
"R-P","noRouteCompare",1.5,0.75,1,7,27,1,0.00300258,0.031644,0.528531169597196
"R-P","noRouteCompare",1.5,0.75,1,7,28,1,0.02541033,0.02265309,0.724842746876154
"R-P","noRouteCompare",1.5,0.75,1,7,29,1,0.02088717,0.01908693,0.604035622396795
"R-P","noRouteCompare",1.5,0.75,1,7,30,1,0.01396931,0.00728854,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,8,1,1,0.0250239,0.00484102,0.453026716797596
"R-P","noRouteCompare",1.5,0.75,1,8,2,1,0.02665723,0.0029095,0.453026716797596
"R-P","noRouteCompare",1.5,0.75,1,8,3,1,0.01137131,0.00474322,0.241614248958718
"R-P","noRouteCompare",1.5,0.75,1,8,4,1,0.0104049,0.00923405,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,8,5,1,0.01088881,0.00431904,0.226513358398798
"R-P","noRouteCompare",1.5,0.75,1,8,6,1,0.00785621,0.0086634,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,8,7,1,0.01243773,0.01003584,0.332219592318237
"R-P","noRouteCompare",1.5,0.75,1,8,8,1,0.00531386,0.02313611,0.422824935677757
"R-P","noRouteCompare",1.5,0.75,1,8,9,1,0.02019175,0.01188048,0.483228497917436
"R-P","noRouteCompare",1.5,0.75,1,8,10,1,0.00921944,0.01826797,0.407724045117837
"R-P","noRouteCompare",1.5,0.75,1,8,11,1,0.0100075,0.01112288,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,8,12,1,0.0049145,0.01318739,0.271816030078558
"R-P","noRouteCompare",1.5,0.75,1,8,13,1,0.01252982,0.01220872,0.377522263997997
"R-P","noRouteCompare",1.5,0.75,1,8,14,1,0.00581635,0.01155186,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,8,15,1,0.00708331,0.01087049,0.271816030078558
